Regular,STORAGE TYPE,HIERARCHY TYPE,COMMENT,ASO DATA STORAGE,BSO DATA STORAGE,TWO PASS CALCULATION,ASO DIMENSION FORMULA,BSO DIMENSION FORMULA,CONSOLIDATION TYPE,UDA,PARENT,ALIAS:Default,ALIAS:English
Accounts,SPARSE,DYNAMIC,,STOREDATA,LABELONLY,N,,,,,,ALIAS:Default,ALIAS:English
NoAccount,SPARSE,Disabled,,StoreData,StoreData,N,,,+,,,NoAccount,NoAccount,
NetIncome,SPARSE,Disabled,,StoreData,StoreData,N,,,+,,,Net Income,Net Income,
Income From Operations,SPARSE,,,StoreData,StoreData,N,,,+,,NetIncome,Income From Operations,Income From Operations,
Gross Profit,SPARSE,,,StoreData,StoreData,N,,,+,,Income From Operations,Gross Profit,Gross Profit,
Net Revenue,SPARSE,,,StoreData,StoreData,N,,,+,,Gross Profit,,,
INC1000,SPARSE,,,StoreData,StoreData,N,,,+,,Net Revenue,Revenue,Revenue,
INC1100,SPARSE,,,StoreData,StoreData,N,,,-,,Net Revenue,Discounts,Discounts,
Cost of Goods,SPARSE,,,StoreData,StoreData,N,,,-,,Gross Profit,Cost of Goods,Cost of Goods,
Materials,SPARSE,,,StoreData,StoreData,N,,,+,,Cost of Goods,Materials,Materials,
MAT5100,SPARSE,,,StoreData,StoreData,N,,,+,,Materials,Frames,Frames,
MAT5200,SPARSE,,,StoreData,StoreData,N,,,+,,Materials,Wheels,Wheels,
MAT5300,SPARSE,,,StoreData,StoreData,N,,,+,,Materials,Gearsets,Gearsets,
MAT5400,SPARSE,,,StoreData,StoreData,N,,,+,,Materials,Seats,Seats,
MAT5500,SPARSE,,,StoreData,StoreData,N,,,+,,Materials,Controls,Controls,
MAT5600,SPARSE,,,StoreData,StoreData,N,,,+,,Materials,Tubing,Tubing,
Equipment Depreciation,SPARSE,,,StoreData,StoreData,N,,,+,,Cost of Goods,Equipment Depreciation,Equipment Depreciation,
DEP6100,SPARSE,,,StoreData,StoreData,N,,,+,,Equipment Depreciation,Bar Bender Depreciation,Bar Bender Depreciation,
Operating Expenses,SPARSE,,,StoreData,StoreData,N,,,-,,Income From Operations,Operating Expenses,Operating Expenses,
Personnel Expenses,SPARSE,,,StoreData,StoreData,N,,,+,,Operating Expenses,Personnel Expenses,Personnel Expenses,
PER2100,SPARSE,,,StoreData,StoreData,N,,,+,,Personnel Expenses,Regular Salary,Regular Salary,
PER2200,SPARSE,,,StoreData,StoreData,N,,,+,,Personnel Expenses,Regular Wages,Regular Wages,
PER2300,SPARSE,,,StoreData,StoreData,N,,,+,,Personnel Expenses,Overtime,Overtime,
PER2400,SPARSE,,,StoreData,StoreData,N,,,+,,Personnel Expenses,Vacation,Vacation,
PER2500,SPARSE,,,StoreData,StoreData,N,,,+,,Personnel Expenses,Benefits,Benefits,
Facilities Expenses,SPARSE,,,StoreData,StoreData,N,,,+,,Operating Expenses,Facilities Expenses,Facilities Expenses,
FAC8100,SPARSE,,,StoreData,StoreData,N,,,+,,Facilities Expenses,Rent,Rent,
