Regular,STORAGE TYPE,HIERARCHY TYPE,COMMENT,ASO DATA STORAGE,BSO DATA STORAGE,TWO PASS CALCULATION,ASO DIMENSION FORMULA,BSO DIMENSION FORMULA,CONSOLIDATION TYPE,UDA,PARENT,ALIAS:Default,ALIAS:English
"Account","SPARSE","DYNAMIC",,"STOREDATA","NEVERSHARE","N",,,,,,"ALIAS:Default","ALIAS:English"
"NetIncome","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,,"Net Income","Net Income",
"Income From Operations","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"NetIncome","Income From Operations","Income From Operations",
"Gross Profit","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Income From Operations","Gross Profit","Gross Profit",
"Net Revenue","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Gross Profit","Net Revenue","Net Revenue",
"Cost of Goods","SPARSE","STORED",,"StoreData","NeverShare","N",,,"-",,"Gross Profit","Cost of Goods","Cost of Goods",
"Materials","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Cost of Goods","Materials","Materials",
"MAT5100","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Materials","Frames","Frames",
"MAT5200","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Materials","Wheels","Wheels",
"MAT5300","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Materials","Gearsets","Gearsets",
"MAT5400","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Materials","Seats","Seats",
"MAT5500","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Materials","Controls","Controls",
"MAT5600","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Materials","Tubing","Tubing",
"Equipment Depreciation","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Cost of Goods","Equipment Depreciation","Equipment Depreciation",
"DEP6100","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Equipment Depreciation","Bar Bender Depreciation","Bar Bender Depreciation",
"Operating Expenses","SPARSE","STORED",,"StoreData","NeverShare","N",,,"-",,"Income From Operations","Operating Expenses","Operating Expenses",
"Personnel Expenses","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Operating Expenses","Personnel Expenses","Personnel Expenses",
